command,exit,real,user,sys,comment
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j12 -j12,0,291.05,989.03,65.05,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j12 -j8,0,289.65,944.90,61.11,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j12 -j6,0,291.19,906.46,57.27,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j12 -j4,0,299.25,846.17,51.82,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j12 -j2,0,351.53,772.20,45.97,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j12 -j1,0,504.92,723.58,41.65,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j8 -j12,0,294.24,1027.47,69.75,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j8 -j8,0,292.84,981.63,62.56,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j8 -j6,0,295.44,933.62,59.57,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j8 -j4,0,296.24,865.85,52.26,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j8 -j2,0,350.01,784.19,45.50,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j8 -j1,0,502.44,729.70,42.87,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j6 -j12,0,292.25,992.78,61.85,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j6 -j8,0,293.53,947.58,57.08,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j6 -j6,0,290.84,905.21,52.15,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j6 -j4,0,295.64,842.89,47.80,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j6 -j2,0,349.87,762.24,42.21,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j6 -j1,0,504.32,711.48,37.24,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j4 -j12,0,294.57,967.89,55.93,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j4 -j8,0,292.55,920.98,50.92,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j4 -j6,0,292.70,875.23,46.28,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j4 -j4,0,296.94,811.53,43.78,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j4 -j2,0,352.67,741.96,38.58,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j4 -j1,0,511.68,696.01,35.28,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j2 -j12,0,312.83,923.04,49.46,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j2 -j8,0,314.25,877.80,45.17,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j2 -j6,0,309.76,826.51,42.46,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j2 -j4,0,314.05,768.25,38.73,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j2 -j2,0,376.25,715.97,34.62,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j2 -j1,0,556.89,681.28,31.02,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j1 -j12,0,358.18,840.02,44.97,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j1 -j8,0,356.53,776.75,40.18,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j1 -j6,0,357.64,731.19,37.31,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j1 -j4,0,365.96,701.74,34.84,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j1 -j2,0,457.33,668.56,32.60,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j1 -j1,0,683.09,640.39,29.96,
cabal new-run -- testsuite -p clash -j12,0,141.02,1555.69,110.89,
cabal new-run -- testsuite -p clash -j8,0,134.27,980.59,83.06,
cabal new-run -- testsuite -p clash -j6,0,138.78,754.93,72.15,
cabal new-run -- testsuite -p clash -j4,0,175.06,638.62,63.52,
cabal new-run -- testsuite -p clash -j2,0,314.01,592.94,58.70,
cabal new-run -- testsuite -p clash -j1,0,591.39,582.63,57.23,
cabal new-install stack-1.9.3 -j12,0,297.17,1814.22,137.47,GHC_THREADS=12
cabal new-install stack-1.9.3 -j8,0,293.46,1807.70,129.88,GHC_THREADS=12
cabal new-install stack-1.9.3 -j6,0,297.78,1706.77,119.20,GHC_THREADS=12
cabal new-install stack-1.9.3 -j4,0,321.37,1461.10,98.36,GHC_THREADS=12
cabal new-install stack-1.9.3 -j2,0,443.24,1248.96,83.47,GHC_THREADS=12
cabal new-install stack-1.9.3 -j1,0,709.90,1149.36,72.56,GHC_THREADS=12
cabal new-install stack-1.9.3 -j12,0,303.27,1896.85,142.15,GHC_THREADS=8
cabal new-install stack-1.9.3 -j8,0,299.62,1893.49,142.62,GHC_THREADS=8
cabal new-install stack-1.9.3 -j6,0,302.89,1786.80,127.77,GHC_THREADS=8
cabal new-install stack-1.9.3 -j4,0,323.24,1512.93,102.04,GHC_THREADS=8
cabal new-install stack-1.9.3 -j2,0,440.81,1266.71,83.34,GHC_THREADS=8
cabal new-install stack-1.9.3 -j1,0,706.84,1155.81,71.63,GHC_THREADS=8
cabal new-install stack-1.9.3 -j12,0,297.81,1813.00,124.85,GHC_THREADS=6
cabal new-install stack-1.9.3 -j8,0,293.81,1807.91,123.00,GHC_THREADS=6
cabal new-install stack-1.9.3 -j6,0,297.41,1690.28,109.55,GHC_THREADS=6
cabal new-install stack-1.9.3 -j4,0,321.23,1447.30,90.29,GHC_THREADS=6
cabal new-install stack-1.9.3 -j2,0,441.58,1211.94,75.54,GHC_THREADS=6
cabal new-install stack-1.9.3 -j1,0,707.41,1103.21,65.35,GHC_THREADS=6
cabal new-install stack-1.9.3 -j12,0,297.56,1744.95,110.30,GHC_THREADS=4
cabal new-install stack-1.9.3 -j8,0,289.42,1725.08,103.00,GHC_THREADS=4
cabal new-install stack-1.9.3 -j6,0,292.62,1618.65,93.92,GHC_THREADS=4
cabal new-install stack-1.9.3 -j4,0,323.20,1370.39,79.82,GHC_THREADS=4
cabal new-install stack-1.9.3 -j2,0,445.95,1159.08,66.55,GHC_THREADS=4
cabal new-install stack-1.9.3 -j1,0,719.19,1064.92,57.67,GHC_THREADS=4
cabal new-install stack-1.9.3 -j12,0,318.43,1613.50,88.92,GHC_THREADS=2
cabal new-install stack-1.9.3 -j8,0,315.06,1577.20,83.41,GHC_THREADS=2
cabal new-install stack-1.9.3 -j6,0,311.90,1471.85,76.78,GHC_THREADS=2
cabal new-install stack-1.9.3 -j4,0,339.51,1252.08,67.31,GHC_THREADS=2
cabal new-install stack-1.9.3 -j2,0,485.94,1100.44,58.51,GHC_THREADS=2
cabal new-install stack-1.9.3 -j1,0,795.13,1032.76,51.19,GHC_THREADS=2
cabal new-install stack-1.9.3 -j12,0,407.64,1410.34,77.68,GHC_THREADS=1
cabal new-install stack-1.9.3 -j8,0,399.99,1257.16,68.51,GHC_THREADS=1
cabal new-install stack-1.9.3 -j6,0,392.44,1167.71,64.60,GHC_THREADS=1
cabal new-install stack-1.9.3 -j4,0,414.07,1089.69,59.19,GHC_THREADS=1
cabal new-install stack-1.9.3 -j2,0,609.92,1013.36,52.91,GHC_THREADS=1
cabal new-install stack-1.9.3 -j1,0,1008.95,957.60,46.53,GHC_THREADS=1

